longitude,latitude,elevation,StationID,Power,Quality,num_measures,recorded_tstamp,CodePrefix,CodeValue,JSON
-123.123282,49.277348,26,40529,-70.8976,-20.5593,1,12/1/2011 19:52,ABC,189279692,"{ ""StationID"" : ""40529"", ""Power"" : ""-70.8976"", ""Quality"" : ""-20.5593"" }"
-123.100933,49.257507,54,35602,-114.8493,-19.6698,1,12/5/2011 18:11,ABD,242066268,"{ ""StationID"" : ""35602"", ""Power"" : ""-114.8493"", ""Quality"" : ""-19.6698"" }"
-123.135896,49.291775,15,31961,-59.0399,-20.8649,2,12/4/2011 14:29,ABC,209329013,"{ ""StationID"" : ""31961"", ""Power"" : ""-59.0399"", ""Quality"" : ""-20.8649"" }"
-123.095062,49.267263,14,31355,-63.4555,-12.7449,2,12/4/2011 0:01,ABC,353314493,"{ ""StationID"" : ""31355"", ""Power"" : ""-63.4555"", ""Quality"" : ""-12.7449"" }"
-123.091112,49.25903,51,40118,-44.1318,-14.3263,2,12/3/2011 1:25,ABC,203973617,"{ ""StationID"" : ""40118"", ""Power"" : ""-44.1318"", ""Quality"" : ""-14.3263"" }"
-123.177908,49.262461,19,35977,-68.8548,-15.7873,2,12/4/2011 0:40,ABD,58871493,"{ ""StationID"" : ""35977"", ""Power"" : ""-68.8548"", ""Quality"" : ""-15.7873"" }"
-123.116458,49.279184,26,32335,-53.2126,-19.8985,1,12/5/2011 18:12,ABC,418661151,"{ ""StationID"" : ""32335"", ""Power"" : ""-53.2126"", ""Quality"" : ""-19.8985"" }"
-123.098582,49.279462,13,43146,-92.868,-20.3471,1,12/5/2011 22:15,ABD,355078581,"{ ""StationID"" : ""43146"", ""Power"" : ""-92.8680"", ""Quality"" : ""-20.3471"" }"
-123.122423,49.280959,32,1439,-75.8455,-11.5592,2,12/6/2011 17:28,ABC,92214226,"{ ""StationID"" : ""1439"", ""Power"" : ""-75.8455"", ""Quality"" : ""-11.5592"" }"
-123.168412,49.265556,22,31559,-54.8265,-16.5687,2,12/2/2011 22:44,ABC,99358410,"{ ""StationID"" : ""31559"", ""Power"" : ""-54.8265"", ""Quality"" : ""-16.5687"" }"
-123.146352,49.273043,10,36607,-78.8811,-12.9902,3,12/6/2011 17:38,ABD,265855269,"{ ""StationID"" : ""36607"", ""Power"" : ""-78.8811"", ""Quality"" : ""-12.9902"" }"
